eps,homogeneity,completeness,v-measure,adjusted_rand_index,adjusted_mutual_info,silhouette
1.0,0.7444003315096126,0.7758506682268557,0.7597701288801892,0.08833664428389394,0.6852533901055641,0.4823970092326095
2.0,0.7796313504301432,0.7781015872900441,0.778836403714927,0.11541595073748866,0.7063487661015709,0.5442742359966671
3.0,0.8152177862753527,0.7823748848090173,0.7984300067142699,0.15529461463989971,0.7292550739309012,0.6033662640924506
4.0,0.8485382730995442,0.7890420309334081,0.8176828244222548,0.21027394507730793,0.7531628063292304,0.6550188528893577
5.0,0.8764718457499592,0.7974646744894958,0.8350745466549033,0.2772532104911618,0.7758637988454014,0.695055818691574
6.0,0.8993858050075619,0.8064254692952996,0.850346951098035,0.35062529043553975,0.7964111427379131,0.7254676156590132
7.0,0.917971164012083,0.815765550199712,0.8638317834467294,0.42526456278500796,0.8149842976771434,0.7478227249817505
8.0,0.9323694170925614,0.8258423426700028,0.8758628787365877,0.494972228733812,0.831957404981444,0.7617327066149041
9.0,0.9422823872077606,0.8349462020151338,0.885353832976923,0.5512007197279055,0.8455683644356387,0.7696189654180097
10.0,0.9497209649981148,0.8445728177539245,0.8940451079080529,0.5990994673309288,0.858198235258056,0.774199082266202
11.0,0.954878292901668,0.8536758192845112,0.9014193825445603,0.6360407047833874,0.8689601506723086,0.774356411264444
12.0,0.9567650998202789,0.8625196126172747,0.9071630846403425,0.6624105551253483,0.8775951704080809,0.7712832148184249
13.0,0.9570306044615273,0.8708776472875362,0.9118805619288528,0.6795455483858894,0.8847583998350207,0.764754201033028
14.0,0.9563807002724309,0.8792990546791519,0.9161689321937803,0.6920507552614795,0.8912704498329959,0.7576121910629802
15.0,0.9529920714552601,0.8876459684377314,0.9190841835676209,0.691673767682924,0.8960180605459057,0.7468343352853085
16.0,0.9498817214603504,0.8941296700639403,0.9210695400956058,0.6891993820846374,0.8993094674638007,0.7392640700650053
17.0,0.9444709668289799,0.9010408439910499,0.9221217571887647,0.6796776542640197,0.9014979654660026,0.72787795059455
18.0,0.9386489992886741,0.9077831190586853,0.9227983692674716,0.6666782732339719,0.9031241663579885,0.7137418121523854
19.0,0.9331763919239282,0.913100949922858,0.9228219281323718,0.6505376067141024,0.9037745952385499,0.7030161881522733
20.0,0.9262541958198754,0.9182678912542225,0.9220006892654166,0.6321643149154784,0.9034232983160391,0.6902498724622483
21.0,0.9195135060114404,0.9233087694026133,0.9211489014808505,0.6157654050574259,0.9029910833433686,0.6807815133606334
22.0,0.9106490034923459,0.9279876287393927,0.9189145800505857,0.5901280931729028,0.9009338434193981,0.6675153525751155
23.0,0.9013312580585213,0.9324838078154637,0.9162719454518051,0.5564125065853418,0.8983071645942331,0.6531022326924802
24.0,0.8909409013383914,0.9368284499778202,0.9128992314035367,0.5192753251458334,0.8948235300232387,0.6354186415062768
25.0,0.883025285810081,0.9409608743192008,0.9106474929392765,0.4984573721403365,0.8926926284662193,0.6237581705867471
26.0,0.8741227749315733,0.9443482094668653,0.9072866372264208,0.4789934316929767,0.8892245482815947,0.6168573527235471
27.0,0.8624245048641364,0.9475501147680785,0.9024038302652064,0.4417486583876281,0.8839541765709921,0.5996290385759467
28.0,0.8490576574899831,0.9510556129876665,0.896343363147873,0.40946610485389423,0.8773788749146628,0.5831615521360235
29.0,0.8384932065631832,0.9543295147601034,0.8917855815035732,0.382299431616524,0.8725389146621335,0.5702295830605162
30.0,0.829340529947661,0.9567142283795408,0.8874815725885398,0.364222136857433,0.8679859937094817,0.5599851147505465
31.0,0.8212717685399756,0.9587665159083866,0.8836808929158094,0.34452224895370054,0.8639465423680177,0.5518446421673908
32.0,0.8112200163006549,0.9604316295828064,0.8784752264986321,0.321967739035701,0.8583019937603222,0.5411618833772517
33.0,0.8024378811026116,0.9628973140653538,0.8743284632502123,0.3035877304606444,0.8540104625889972,0.5329594550106165
34.0,0.7947645774198393,0.9646996817966778,0.8705237818080495,0.28906359748758564,0.8500365943488393,0.5256242032620113
35.0,0.7888129271900332,0.9665231213197494,0.867573411293699,0.28242603715567455,0.8470309341311187,0.520349259904986
36.0,0.7804752182349037,0.9683113616023228,0.8630780428765581,0.27188415021696133,0.8423232456190151,0.5138033927838338
37.0,0.7721920941542884,0.9697540276916569,0.8584551956606268,0.26064955803392764,0.8374954122960502,0.5100838366712949
38.0,0.7647857886384755,0.9714907790422993,0.8545049000176931,0.2497088123694246,0.8334106363088308,0.5032161797369621
39.0,0.7569933354565699,0.9732288687342008,0.8503446862868842,0.2381777741000005,0.8290805751313894,0.4946705457800572
40.0,0.7423733946231761,0.9746319150955027,0.8413707639580865,0.21403438343398204,0.8193209886564939,0.4774033704421506
41.0,0.735082221333098,0.976179517248314,0.837190474742084,0.20694900110292733,0.815034416378433,0.47136826853343927
42.0,0.725515647162859,0.9774571990115791,0.8314279271841896,0.19324976448543665,0.8089522324069918,0.4606611499687135
43.0,0.7157906774669449,0.9788885363872474,0.8254026325931847,0.18336344625808135,0.8026687612433545,0.45243190373898884
44.0,0.7053528193897961,0.9798599266372362,0.8185745136902978,0.17392118535103282,0.7955200069753369,0.4441029253051623
45.0,0.6996046152043739,0.9809883309965446,0.8150448330208527,0.1696945650033298,0.7919644902983588,0.44054513895151765
46.0,0.6938775995253371,0.9819287296681225,0.8112550702169199,0.1657906482496477,0.7880352510582073,0.43492163266042333
47.0,0.6842108729634288,0.9825784374714576,0.8047248171349263,0.15516255786157174,0.7810691693832379,0.42602395479083943
48.0,0.6767025704007033,0.9835624894369821,0.7997319204160611,0.14901976449333237,0.7759503571488152,0.4201772305231109
49.0,0.6663446761618138,0.9844897322403331,0.7927097740870268,0.13788627169388873,0.7685359951786161,0.41217119390556883
50.0,0.6600922962202327,0.9853152139533082,0.7883324472127049,0.13518496691686285,0.7641366895898605,0.40948556565185257
51.0,0.6505787717291789,0.9858805103132332,0.7816091941188862,0.1288911235081265,0.7570861387882698,0.4007205896720856
52.0,0.6427999982563659,0.9864652103033567,0.7760040877386298,0.12429832807267305,0.7512827450364148,0.39474132553027685
53.0,0.6359928571991138,0.9869792134730869,0.7710751001257665,0.12034291224321228,0.7462148654641113,0.39049598304290384
54.0,0.623979559224127,0.9879306027394722,0.7624657543609678,0.11099857884297182,0.7371071439041212,0.37705715311358495
55.0,0.6169003536753588,0.9883893168452286,0.7573291515205786,0.10628123044429745,0.7317668853352436,0.37420701368650205
56.0,0.6072630507900414,0.9888811981782223,0.7503028127576445,0.09968227025050405,0.7243979782425852,0.36237875085947074
57.0,0.5977272184301787,0.9894115181216051,0.7428445730221835,0.09612363251585235,0.7167470424621314,0.3533964821224038
58.0,0.5898757151514705,0.990113310132589,0.7367496487766003,0.0931934450840156,0.7105852138647926,0.35228256857509654
59.0,0.5855984996849586,0.990501638705244,0.7335362192213475,0.09061180501565907,0.7074300593862786,0.35028947915521025
60.0,0.5798042579074216,0.9908567420636842,0.7289502786237929,0.08906822823055077,0.702814521422034,0.34473793493344135
61.0,0.5721033192294513,0.9914171076632141,0.722732534879527,0.0861426006635408,0.6964381746404805,0.33863802463193804
62.0,0.5650006559670382,0.9918410384556426,0.7170532623513826,0.0837481363114461,0.6906472407452741,0.33646366869269756
63.0,0.5530097904002651,0.9923845637851062,0.7073652753803423,0.07675611368901752,0.680468614265457,0.3206193720184954
64.0,0.5486197068567888,0.9927321118841622,0.703835218486939,0.07502527247015317,0.6769477951614122,0.31784535170643435
65.0,0.5428375046707569,0.993185595646684,0.6992848890422154,0.07225664951011466,0.6723905394537675,0.31201061818757536
66.0,0.5340951798996373,0.9936802951982763,0.6919258525771199,0.06860726514589016,0.6648994834070621,0.3101902929628942
67.0,0.525903817153781,0.9939631119942941,0.6850080156990777,0.06611188090543599,0.6578655145367329,0.2990106324275377
68.0,0.517086600782685,0.9942789672973562,0.6772889574146517,0.06384586781151926,0.6500015094135999,0.2885470185088475
69.0,0.5081273896598656,0.9945274462772332,0.6693008971827997,0.06142308390568215,0.641775477630727,0.2796042161273739
70.0,0.5017789850514255,0.994818026414496,0.6638942329656274,0.05941253453743631,0.6363765722384929,0.27243984509964136
71.0,0.49499827362867443,0.9951330641539525,0.6580904796531152,0.056946710325835904,0.6305025239323936,0.27099640189265567
72.0,0.48652071970680977,0.9952383424758926,0.650555087710893,0.05493236849741944,0.6229041749489358,0.2669744593025773
73.0,0.4824648428253745,0.9955069579982387,0.646982444615158,0.05362019532591205,0.6194083234924569,0.26807329698889976
74.0,0.47386034298867885,0.9958311175365832,0.6393663607513294,0.05078980075366471,0.6117038193284776,0.25994366011062087
75.0,0.4677719102853273,0.996060303996908,0.6336868113089341,0.04941601934778389,0.6059640580699281,0.2575131578606415
76.0,0.45938499508878894,0.9961226697241359,0.6258397200871778,0.04732870763064732,0.5978386038503314,0.2513603131571709
77.0,0.4533713683921294,0.9961672035460976,0.6200920034022654,0.046145993803312864,0.592159452367347,0.24822426924830426
78.0,0.4477393614711253,0.9962970153672324,0.6147099945691626,0.045117845174327806,0.5867965623158653,0.2431887545946014
79.0,0.43915410720386405,0.9963734993398898,0.6067491591032548,0.04286540042833397,0.5787487703030627,0.23892087283654764
80.0,0.4291172446373711,0.996729946356325,0.5971273344266126,0.04084366580070861,0.5691833457188571,0.2327636028923882
81.0,0.4220852141470817,0.9968516665248248,0.5902479115411227,0.039548241046411345,0.5622310533965339,0.22406870507215115
82.0,0.4137507081101742,0.9968881630549408,0.5814885580202386,0.03834670332279232,0.5534462039366229,0.21927538805366467
83.0,0.40564143944298975,0.9972141216430649,0.573755080731631,0.03606059236571005,0.545751412865536,0.21234350267076174
84.0,0.3979606363541036,0.9972738572467189,0.5657884300379571,0.03504395707887436,0.5378564510482543,0.20664886806782834
85.0,0.39259166783169147,0.9975930895027544,0.5604552578358726,0.03423545395286643,0.5326895639130613,0.20548543762877583
86.0,0.38610140279407845,0.9977914847682657,0.5536486848740018,0.03324035328945789,0.5260372888905258,0.2011216867436771
87.0,0.3818796495425636,0.9978309954388448,0.5495013036015907,0.032475218431361356,0.5221243495198441,0.19962336110554277
88.0,0.3744370192840432,0.997850595220592,0.5419138201900402,0.031130861549231673,0.5145292312398785,0.18853529768711685
89.0,0.37036202869362556,0.9980876820994983,0.5377639025282744,0.030589858423253898,0.5105892530516623,0.1872239521050082
90.0,0.36359630852702307,0.9982464177774891,0.5305097333456904,0.02970955546101297,0.5035214109578273,0.18243110755325606
91.0,0.35509863142648096,0.9984428499098519,0.5207290241951275,0.02843746174985311,0.49364271246685704,0.17871103109546774
92.0,0.3485040401628586,0.9984787815266998,0.5134068284258961,0.027661379507206242,0.48650475106098595,0.18106819080960945
93.0,0.3429650693228392,0.9986448849888716,0.5071921178363784,0.02704253297312563,0.48050519575748524,0.17554254713008052
94.0,0.3358003024580556,0.9985818556738991,0.4988644842327588,0.026261619378612943,0.472391065695946,0.16851213890110145
95.0,0.33131222230915613,0.9986728476518724,0.4939689806985442,0.02571501884519499,0.46766639785355557,0.16905653655172428
96.0,0.3246539311155694,0.998741523433754,0.4863186552540397,0.024947470237056422,0.4601883488945576,0.16096914337991464
97.0,0.3177499306144786,0.9988516199635262,0.47861828704049114,0.02420315181384429,0.4527494971409971,0.1580103910304228
98.0,0.3113104477579741,0.9989208372046795,0.471057635219217,0.023396285283484263,0.44526024057262814,0.1521066328156819
99.0,0.3072018720888446,0.9989113635380288,0.4662575458202315,0.022989165822101802,0.44074200862035295,0.15277178875892491
